metallicities age
0.008 2.4
0.02 4.62
0.004 5.26
0.008 2.4
0.004 5.26
0.008 6.0
0.008 4.62
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.4
0.008 3.12
0.008 2.4
0.008 5.26
0.008 3.12
0.008 5.26
0.008 6.0
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 5.26
0.008 2.74
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.74
0.008 5.26
0.008 2.4
0.008 2.4
0.008 2.74
0.008 2.74
0.008 4.05
0.008 4.62
0.008 6.0
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.74
0.008 2.74
0.008 2.4
0.008 6.0
0.008 5.26
0.008 3.12
0.004 4.62
0.008 6.0
0.008 5.26
0.008 4.62
0.008 6.0
0.008 2.4
0.008 4.62
0.008 2.4
0.008 2.74
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.4
0.008 5.26
0.008 2.4
0.008 6.0
0.008 3.12
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.74
0.008 2.74
0.008 4.62
0.008 2.74
0.008 2.4
0.008 5.26
0.02 6.0
0.008 2.4
0.008 5.26
0.02 3.12
0.008 2.74
0.008 3.12
0.008 5.26
0.008 2.4
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 4.62
0.008 5.26
0.004 6.0
0.008 6.0
0.008 2.74
0.008 2.74
0.008 6.0
0.008 5.26
0.004 6.0
0.008 5.26
0.008 2.74
0.008 2.74
0.008 4.62
0.008 2.74
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.4
0.02 6.0
0.008 2.74
0.008 2.4
0.008 2.74
0.008 2.74
0.004 6.0
0.008 2.74
0.008 5.26
0.008 2.4
0.008 2.4
0.004 6.0
0.008 2.74
0.008 5.26
0.008 2.4
0.004 5.26
0.008 2.74
0.008 2.4
0.008 2.4
0.008 2.74
0.008 2.74
0.008 2.74
0.008 3.12
0.008 2.74
0.02 6.0
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.4
0.008 5.26
0.008 4.62
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 6.0
0.008 3.12
0.008 4.62
0.008 5.26
0.004 6.0
0.008 2.74
0.008 5.26
0.008 6.0
0.004 6.0
0.008 5.26
0.008 6.0
0.008 2.74
0.008 2.4
0.008 2.74
0.008 2.74
0.004 6.0
0.008 6.0
0.008 4.62
0.008 2.4
0.008 6.0
0.008 5.26
0.004 6.0
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 3.12
0.008 5.26
0.008 2.74
0.008 3.12
0.008 2.74
0.008 6.0
0.008 2.74
0.008 2.74
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.4
0.008 2.4
0.008 5.26
0.008 5.26
0.008 2.74
0.008 2.4
0.008 3.12
0.008 2.4
0.008 2.74
0.008 4.62
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.4
0.008 5.26
0.008 2.74
0.008 2.4
0.008 3.12
0.008 5.26
0.008 6.0
0.008 2.74
0.008 2.4
0.004 6.0
0.008 5.26
0.008 4.62
0.004 6.0
0.008 2.74
0.008 2.74
0.004 4.62
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.74
0.008 2.4
0.008 2.4
0.008 2.74
0.008 2.74
0.008 6.0
0.008 2.74
0.008 3.12
0.008 6.0
0.008 2.4
0.008 5.26
0.004 6.0
0.004 6.0
0.008 2.74
0.008 6.0
0.008 2.4
0.008 6.0
0.008 2.4
0.008 6.0
0.008 2.4
0.008 5.26
0.008 6.0
0.008 2.4
0.008 2.74
0.008 2.74
0.008 2.4
0.008 5.26
0.008 4.62
0.008 5.26
0.004 6.0
0.008 5.26
0.008 2.4
0.008 5.26
0.008 6.0
0.008 5.26
0.008 6.0
0.008 6.0
0.008 5.26
0.008 2.4
0.008 2.74
0.008 6.0
0.008 5.26
0.008 5.26
0.008 2.74
0.008 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.004 4.62
0.008 5.26
0.008 5.26
0.004 6.0
0.008 2.4
0.008 3.12
0.008 2.4
0.008 3.12
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.74
0.008 6.0
0.008 5.26
0.008 5.26
0.008 2.4
0.02 4.62
0.008 5.26
0.008 2.4
0.004 6.0
0.008 6.0
0.008 2.74
0.008 5.26
0.008 2.74
0.008 4.62
0.008 2.74
0.02 6.0
0.008 6.0
0.004 6.0
0.008 5.26
0.008 2.74
0.008 6.0
0.008 2.4
0.008 5.26
0.008 2.4
0.008 5.26
0.008 2.74
0.008 3.12
0.008 4.05
0.008 2.4
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.4
0.008 2.4
0.004 6.0
0.008 5.26
0.008 2.4
0.008 5.26
0.008 5.26
0.008 2.74
0.008 3.12
0.008 2.4
0.008 6.0
0.004 5.26
0.004 4.62
0.008 2.74
0.008 2.74
0.008 2.4
0.008 2.4
0.008 2.4
0.008 2.4
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 2.74
0.008 6.0
0.02 6.0
0.008 2.74
0.008 2.74
0.02 6.0
0.02 4.62
0.008 2.4
0.008 2.74
0.008 2.4
0.008 5.26
0.008 5.26
0.008 4.62
0.008 2.74
0.008 3.12
0.008 6.0
0.008 2.74
0.008 2.74
0.004 5.26
0.008 5.26
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.4
0.004 5.26
0.004 5.26
0.004 6.0
0.008 2.4
0.008 4.05
0.008 2.74
0.008 3.12
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.4
0.008 2.74
0.008 2.74
0.008 2.4
0.02 4.62
0.008 6.0
0.008 5.26
0.008 2.74
0.008 5.26
0.008 4.62
0.008 2.74
0.008 2.4
0.008 2.74
0.008 5.26
0.02 6.0
0.008 2.4
0.008 6.0
0.008 6.0
0.008 2.4
0.008 2.4
0.008 6.0
0.008 5.26
0.02 2.4
0.004 6.0
0.008 2.74
0.02 2.4
0.008 5.26
0.008 5.26
0.008 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.008 6.0
0.02 2.4
0.008 2.74
0.004 6.0
0.004 5.26
0.008 5.26
0.008 5.26
0.008 2.4
0.008 6.0
0.008 6.0
0.008 6.0
0.008 5.26
0.008 2.74
0.008 2.74
0.004 5.26
0.008 2.4
0.008 3.12
0.008 3.12
0.008 5.26
0.008 5.26
0.008 2.74
0.008 2.74
0.008 6.0
0.008 2.74
0.008 5.26
0.008 6.0
0.008 2.74
0.008 2.4
0.008 2.74
0.008 5.26
0.008 2.4
0.008 5.26
0.004 5.26
0.008 2.74
0.008 5.26
0.008 2.4
0.008 6.0
0.008 3.12
0.008 2.74
0.008 2.74
0.008 2.4
0.008 2.4
0.008 4.05
0.004 5.26
0.008 2.74
0.02 6.0
0.008 6.0
0.008 2.4
0.008 2.74
0.008 2.4
0.008 6.0
0.008 6.0
0.008 5.26
0.008 6.0
0.008 6.0
0.008 5.26
0.008 2.4
0.008 5.26
0.008 2.74
0.008 5.26
0.008 3.12
0.008 2.4
0.008 6.0
0.008 5.26
0.008 2.74
0.008 6.0
0.008 2.74
0.008 2.4
0.008 6.0
0.008 2.74
0.008 2.74
0.008 2.74
0.004 4.62
0.008 2.74
0.004 6.0
0.008 5.26
0.008 4.62
0.008 5.26
0.008 2.74
0.008 5.26
0.008 6.0
0.008 2.4
0.008 2.74
0.008 2.4
0.02 4.62
0.008 2.4
0.008 2.74
0.008 5.26
0.008 2.4
0.02 4.62
0.02 6.0
0.008 2.4
0.008 6.0
0.008 5.26
0.008 2.4
0.008 6.0
0.008 4.05
0.004 5.26
0.008 2.74
0.008 6.0
0.008 2.4
0.008 2.74
0.008 4.05
0.008 3.12
0.008 6.0
0.008 2.74
0.008 5.26
0.008 2.74
0.004 6.0
0.004 6.0
0.008 2.74
0.008 2.4
0.004 5.26
0.008 2.74
0.008 2.4
0.008 5.26
0.008 2.74
0.008 5.26
0.008 2.4
0.008 2.74
0.004 5.26
0.004 4.62
0.008 2.74
0.008 5.26
0.008 2.4
0.008 3.12
0.008 2.4
0.008 2.74
0.008 6.0
0.008 2.4
0.004 5.26
0.008 5.26
0.008 2.4
0.008 5.26
0.008 2.74
0.008 2.74
0.008 4.05
0.008 2.4
0.008 5.26
0.008 6.0
0.02 6.0
0.008 5.26
0.008 3.12
0.008 5.26
0.008 6.0
0.008 2.74
0.008 2.74
0.008 2.4
0.008 2.4
0.008 5.26
0.008 2.74
0.008 2.4
0.004 6.0
0.008 2.74
0.008 5.26
0.004 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.008 6.0
0.008 4.05
0.008 2.74
0.008 5.26
0.008 2.74
0.008 2.74
0.004 6.0
0.008 5.26
0.004 5.26
0.008 2.74
0.008 5.26
0.008 5.26
0.008 6.0
0.008 2.74
0.008 2.4
0.004 6.0
0.008 2.4
0.008 2.74
0.008 2.74
0.02 2.4
0.008 2.74
0.008 5.26
0.008 2.74
0.02 3.12
0.008 2.4
0.008 3.12
0.004 6.0
0.008 2.74
0.008 2.74
0.008 5.26
0.008 2.4
0.008 2.74
0.004 5.26
0.008 6.0
0.008 2.74
0.008 2.74
