metallicities age
0.0096 2.74
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.62
0.0077 2.74
0.0077 2.4
0.015 1.62
0.015 1.42
0.0077 2.4
0.0077 2.74
0.0077 2.74
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.0077 2.4
0.0096 2.4
0.015 1.42
0.0096 2.74
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.0096 2.4
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.0096 2.74
0.0096 2.74
0.0077 1.42
0.015 1.62
0.0096 2.74
0.015 1.42
0.0096 2.74
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.015 1.42
0.015 1.62
0.019 1.42
0.015 1.42
0.015 1.62
0.015 1.42
0.015 1.62
0.0096 2.74
0.012 1.62
0.015 1.42
0.015 1.42
0.015 1.42
0.0077 2.4
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.74
0.0096 2.74
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.015 1.42
0.015 1.62
0.015 1.42
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.4
0.0077 2.4
0.015 1.62
0.015 1.62
0.0096 2.74
0.0077 2.4
0.0077 2.4
0.015 1.42
0.0077 1.42
0.0077 1.42
0.015 1.62
0.019 1.42
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.019 1.42
0.0077 2.74
0.015 1.62
0.015 1.42
0.0096 2.4
0.0077 2.4
0.0077 2.4
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.42
0.015 1.42
0.0077 2.74
0.0077 2.4
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.0096 2.74
0.0077 1.42
0.015 1.62
0.015 1.62
0.015 1.42
0.012 1.62
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.62
0.0077 1.42
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.0077 1.42
0.0077 2.74
0.0096 2.74
0.0096 2.74
0.0096 2.74
0.0077 2.74
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.0096 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.015 1.62
0.0096 2.74
0.0077 2.4
0.0077 2.4
0.015 1.62
0.015 1.62
0.0096 2.74
0.0077 2.4
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.74
0.0096 2.74
0.019 1.42
0.0096 2.74
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.11
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.42
0.019 1.42
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.42
0.0077 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.0096 2.74
0.015 1.42
0.0077 2.74
0.015 1.42
0.0077 2.4
0.0077 2.74
0.0077 2.4
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.0077 2.74
0.0096 2.4
0.019 1.42
0.015 1.62
0.0077 2.4
0.0077 1.42
0.015 1.62
0.015 1.62
0.015 1.42
0.0096 2.74
0.019 1.42
0.015 1.62
0.015 1.42
0.0096 2.74
0.015 1.62
0.015 1.42
0.015 1.62
0.019 1.42
0.015 1.62
0.0077 2.4
0.015 1.62
0.012 2.4
0.015 1.62
0.012 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.0077 1.42
0.0077 2.74
0.015 1.42
0.0096 2.74
0.0077 2.74
0.0096 2.74
0.0077 2.4
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 2.74
0.0096 2.74
0.0096 2.74
0.015 1.42
0.015 1.42
0.0077 2.4
0.015 1.62
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.42
0.019 1.42
0.015 1.62
0.015 1.62
0.019 1.42
0.015 1.42
0.0096 2.74
0.0077 2.74
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.4
0.015 1.42
0.015 1.62
0.0096 2.74
0.0096 2.74
0.015 1.42
0.015 1.62
0.015 1.42
0.0096 2.74
0.012 1.62
0.015 1.62
0.0096 2.74
0.0077 1.42
0.0077 1.42
0.015 1.62
0.0096 2.74
0.015 1.42
0.015 1.42
0.0077 2.4
0.015 1.42
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.42
0.0096 2.74
0.015 1.42
0.0077 2.4
0.015 1.62
0.0096 2.11
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 1.42
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.42
0.0096 2.74
0.0077 2.74
0.015 1.62
0.0077 2.74
0.015 1.42
0.0096 2.4
0.015 1.42
0.015 1.62
0.015 1.62
0.0077 2.74
0.0077 2.4
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.42
0.0077 1.42
0.015 1.62
0.015 1.42
0.0077 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.62
0.0096 2.74
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.42
0.0077 2.4
0.0077 2.4
0.0096 2.74
0.015 1.42
0.015 1.62
0.0077 2.4
0.015 1.62
0.0096 2.74
0.019 1.42
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.62
0.0077 2.74
0.0077 2.4
0.015 1.62
0.0077 2.4
0.0077 2.4
0.0096 2.74
0.0077 2.74
0.015 1.42
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.42
0.015 1.42
0.015 1.62
0.012 1.62
0.015 1.42
0.0096 2.74
0.015 1.42
0.019 1.42
0.015 1.62
0.015 1.42
0.0096 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.42
0.0096 2.74
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.015 1.62
0.015 1.62
0.0096 2.74
0.0096 2.74
0.015 1.62
0.0077 1.42
0.015 1.62
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.0096 2.74
0.0077 2.4
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.42
0.0077 2.74
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.019 1.42
0.015 1.62
0.015 1.42
0.0077 2.4
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.42
0.0077 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.019 1.42
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.42
0.015 1.62
0.0077 2.74
0.015 1.42
0.0096 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.0096 2.4
0.015 1.42
0.0077 2.74
0.015 1.62
0.0077 1.42
0.0077 2.4
0.0077 2.4
0.0096 2.4
0.012 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 1.42
0.015 1.62
0.0096 2.74
0.0096 2.74
0.0096 2.4
0.015 1.62
0.0077 2.4
0.0077 2.74
0.019 1.42
0.015 1.62
0.015 1.62
0.0096 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.11
0.015 1.42
0.0077 2.4
0.015 1.62
0.015 1.62
0.019 1.42
0.015 1.62
0.0077 1.42
0.0096 2.74
0.015 1.62
0.0077 2.4
0.015 1.42
0.0096 2.4
0.015 1.62
0.0096 2.74
0.0096 2.4
0.015 1.62
0.019 1.42
0.0096 2.74
0.015 1.62
0.0096 2.74
0.0096 2.74
0.015 1.62
0.0077 2.74
0.015 1.42
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.74
0.0077 2.4
0.015 1.62
0.0077 2.4
0.0096 2.74
0.0077 1.42
0.015 1.62
0.015 1.42
0.0077 2.4
0.015 1.62
0.015 1.42
0.0096 2.74
0.0096 2.4
0.0077 2.4
0.015 1.62
0.012 1.62
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.0077 2.74
0.0077 2.4
0.015 1.62
0.015 1.42
0.015 1.62
0.0077 1.42
0.0096 2.74
0.015 1.42
0.015 1.62
0.0077 2.4
0.015 1.62
0.015 1.62
0.0077 2.4
0.015 1.42
0.0077 2.4
0.019 1.42
0.0096 2.74
0.015 1.42
0.0077 2.74
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.0077 2.74
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.015 1.62
0.0096 2.74
0.015 1.62
